Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Positive Regulation Of Telomere Maintenance Via Telomerase (GO:0032212),2.047804164881834,0.0825153484795694,0.001,XRCC5;TNIP1;PRKCQ;TCP1;NEK7;CCT3;PARN;CCT6A;MAP3K4;CCT4;CCT8;CCT2;FBXO4;CCT7;CTNNB1;ATM,wald_stat,GO_Biological_Process_2023
Regulation Of Vasculature Development (GO:1901342),2.035599253487748,0.048538440282099644,0.001,ETS1;PIK3CG;PDCD10;KRIT1;EGLN1;ERBB2;HTATIP2;SP100;CTNNB1,wald_stat,GO_Biological_Process_2023
Regulation Of Lymphocyte Differentiation (GO:0045619),2.024660389674824,0.04141946904072504,0.001,NCKAP1L;ZFP36L1;PRKDC;IKZF3;XRCC6;TBX21;ZNF683,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904358),1.9978929796644371,0.04392728845530018,0.001,XRCC5;TNIP1;PRKCQ;TCP1;NEK7;HNRNPA2B1;CCT3;PARN;CCT6A;DHX36;MAP3K4;CCT4;CCT8;CCT2;FBXO4;CCT7;CTNNB1;ATM,wald_stat,GO_Biological_Process_2023
Positive Regulation Of DNA Biosynthetic Process (GO:2000573),1.9453158803080786,0.07222519913976427,0.001,XRCC5;TNIP1;PRKCQ;TCP1;PTGES3;NEK7;CCT3;RFC5;PARN;RFC4;CCT6A;MAP3K4;WRAP53;CCT4;CCT8;CCT2;FBXO4;CCT7;PRKD2;CTNNB1;ATM,wald_stat,GO_Biological_Process_2023
Establishment Of Protein Localization To Extracellular Region (GO:0035592),1.9182916207653025,0.08575124449837605,0.0020161290322580645,GOLPH3;MIA3;PREB;PRF1;TVP23B;GSDMD;TMEM167A;RAB8B,wald_stat,GO_Biological_Process_2023
"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)",1.8961487441608715,0.09596743050060844,0.001,CNOT7;ZFP36L1;HNRNPD;CSDE1;TOB1;DHX36;SYNCRIP;PABPC1;YBX1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Erythrocyte Differentiation (GO:0045648),1.8417537840145712,0.16175435224009707,0.001893939393939394,MAPK14;ETS1;STAT3;NCKAP1L;PRKDC;FAM210B;HIF1A;ARNT,wald_stat,GO_Biological_Process_2023
Receptor Signaling Pathway Via STAT (GO:0097696),1.8360222421230128,0.15392078729456934,0.0019047619047619048,STAT3;STAT4;IFNG;CTR9;STAMBP;STAT5A;IFNAR1;IFNAR2;STAT6,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Telomerase Activity (GO:0051973),1.8221064177057846,0.16085639109487823,0.001,XRCC5;TNIP1;PRKCQ;TCP1;PTGES3;NEK7;PARN;MAP3K4;WRAP53;CCT4;CCT2,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Establishment Of Protein Localization (GO:1904951),1.812487903685495,0.1618536354134014,0.0019723865877712033,TCP1;CEP120;CCT3;CCT6A;WRAP53;CCT4;CCT8;CCT7,wald_stat,GO_Biological_Process_2023
Receptor Signaling Pathway Via JAK-STAT (GO:0007259),1.8055799024510677,0.15993416072951835,0.001,STAT3;STAT4;IFNG;CTR9;STAMBP;STAT5A;IFNAR1;IFNAR2;STAT6,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Transcription By RNA Polymerase III (GO:0045945),1.7943619162454605,0.16592679124126988,0.009398496240601503,SMARCA5;ZNF143;BAZ1B;ZC3H8;DEK;ICE2;MTOR;DDX21;ICE1,wald_stat,GO_Biological_Process_2023
Regulation Of Organelle Organization (GO:0033043),1.7869653178809422,0.16794300337606477,0.001,UCHL5;GOLPH3;S100A8;S100A9;SLC30A9;PREB;DIAPH1;PDCD10;INO80D;PAK2;TECPR1;ATG5;LMAN1;TBC1D25;RHOT1;CLEC16A;INO80B;RUVBL1;VPS35;TAOK1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Myeloid Cell Differentiation (GO:0045639),1.7642444209948176,0.19894288723623244,0.0038314176245210726,MAPK14;ETS1;STAT3;NCKAP1L;PRKDC;FAM210B;HIF1A;ARNT,wald_stat,GO_Biological_Process_2023
Protein Secretion (GO:0009306),1.7421960006036592,0.23280249420302043,0.008048289738430584,GOLPH3;MIA3;PREB;PRF1;TVP23B;GSDMD;PORCN;PCSK5;TMEM167A;RAB8B;KLRG1,wald_stat,GO_Biological_Process_2023
Regulation Of Erythrocyte Differentiation (GO:0045646),1.7233586731794919,0.24797749824121576,0.009416195856873822,MAPK14;ETS1;STAT3;NCKAP1L;ZFP36L1;PRKDC;FAM210B;HIF1A;ARNT,wald_stat,GO_Biological_Process_2023
