Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
TNF-alpha Signaling via NF-kB,-2.3751334053155153,0.001,0.001,MAP3K8;DUSP2;MAFF;IER3;GADD45B;REL;EGR1;B4GALT1;IL7R;BIRC2;TGIF1;ATP2B1;GPR183;IER2;CD69;SAT1;IRS2;CFLAR;NFKBIA;CD44;ID2;GCH1;TIPARP;FOSL2;NFE2L2;KLF10;PDE4B;ZC3H12A;TNFRSF9;DUSP4;TRAF1;PFKFB3;IRF1;ZFP36;DRAM1;PMEPA1;KDM6B;EIF1;BHLHE40;SOCS3;IFIT2;BCL2A1;ICAM1;IL15RA;BIRC3;NFKB2,wald_stat,MSigDB_Hallmark_2020
Apical Surface,-1.730969412312126,0.03639798488664988,0.03056768558951965,CRYBG1;B4GALT1;GATA3;IL2RB;IL2RG;CD160;MDGA1,wald_stat,MSigDB_Hallmark_2020
Estrogen Response Late,-1.634299003199353,0.04139378673383711,0.001,DUSP2;SLC7A5;PPIF;JAK1;FABP5;CLIC3;PDCD4;RNASEH2A;CHPT1;CD44;ID2;SLC22A5;GALE;DYNLT3;NRIP1;LSR;AFF1;IGFBP4;NXT1;DNAJC1;UGDH;ZFP36,wald_stat,MSigDB_Hallmark_2020
Hedgehog Signaling,1.4999552146510389,0.23234158528276178,0.03337783711615487,ADGRG1;PTCH1;NF1;MYH9;TLE3;TLE1;OPHN1;DPYSL2,wald_stat,MSigDB_Hallmark_2020
Inflammatory Response,-1.4777247440850638,0.07707808564231738,0.001,IL7R;ATP2B1;GPR183;RGS1;SELL;IL18RAP;CD69;IL2RB;TAPBP;NFKBIA;GCH1;IL18R1;CD55;GNAI3;PDE4B;TIMP1;LTA;TNFRSF9;IRF1;IL4R;RGS16;ICAM1;IL15RA;CD70;BEST1;LY6E;ADRM1,wald_stat,MSigDB_Hallmark_2020
Estrogen Response Early,-1.4079803797623838,0.09848866498740555,0.01639344262295082,SLC7A5;B4GALT1;PPIF;CLIC3;CHPT1;ELF1;ABLIM1;CD44;SLC22A5;PMAIP1;DYNLT3;TIPARP;NRIP1;AFF1;KLF10;IGFBP4;NXT1;UNC119;BHLHE40;DHRS3;TIAM1;IGF1R;FASN;SNX24;SVIL;RRP12;ELOVL5;FLNB;ADCY9;SYNGR1;MICB;TBC1D30;SLC2A1;RARA;SLC1A4;NADSYN1,wald_stat,MSigDB_Hallmark_2020
IL-2/STAT5 Signaling,-1.3290807946082155,0.1477329974811083,0.001,MAP3K8;SOCS1;MAFF;GADD45B;IFNGR1;ITGAE;SELL;ABCB1;SLC1A5;IL2RB;HOPX;CD44;NFKBIZ;CD81;IL18R1;IFITM3;GPR65;HUWE1;IRF8;SNX9;P4HA1;PDCD2L;TNFRSF9;TRAF1,wald_stat,MSigDB_Hallmark_2020
Myc Targets V1,-1.2891105038263138,0.17434328895286075,0.04,U2AF1;EEF1B2;HSPD1;HSPE1;NME1;GOT2;SNRPD1;YWHAE;EIF3J;TRA2B;RSL1D1;ACP1;TYMS;SNRPB2;PSMA1;SF3A1;SRSF2;NPM1;SET;PABPC1;SRSF7;HNRNPA1;MRPL9;DUT;MCM4;MCM2;SNRPD2;USP1;EPRS1;ETF1;APEX1;H2AZ1;RAN;RNPS1;LSM7;IFRD1;PSMA4;ILF2;HSP90AB1;VBP1;TRIM28;PCBP1;CYC1;LDHA;ERH;BUB3;EIF4A1;SSBP1;VDAC1;SNRPG;RANBP1;C1QBP;SRSF3;SERBP1;VDAC3;KPNA2;PSMD8;CANX;EIF4E;RACK1;NAP1L1;HNRNPU;PSMA2;EXOSC7;SRM;PSMD7,wald_stat,MSigDB_Hallmark_2020
Apoptosis,-1.27117009543093,0.1712846347607053,0.001,DIABLO;IER3;GADD45B;IFNGR1;CYLD;CD69;GSN;SAT1;PDCD4;DPYD;CFLAR;CD44;GCH1;PMAIP1;IFITM3;CREBBP;CASP4;DNAJC3;HMGB2;SC5D;TIMP1;TSPO;ETF1,wald_stat,MSigDB_Hallmark_2020
KRAS Signaling Up,-1.2687690056180019,0.1551077525888609,0.014084507042253521,IL7R;GUCY1A1;TRIB2;CTSS;ABCB1;ID2;MMD;CCSER2;IL2RG;GADD45G;GYPC;IRF8;LCP1;TRAF1;HDAC9;DUSP6;F13A1;RGS16;USP12;LAT2;BIRC3,wald_stat,MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling,-1.2519942424208512,0.15544080604534005,0.0847457627118644,MAP3K8;SOCS1;IFNGR1;CD44;IL18R1;IL2RG;PTPN2;IRF1;IL4R;SOCS3;CD38;IL15RA,wald_stat,MSigDB_Hallmark_2020
