Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
UV Response Dn,1.8553910370432443,0.014497422680412372,0.001,ANXA2;TGFBR2;ATP2B1;NOTCH2;ADD3;SYNJ2;MYC;NIPBL;MAPK14;PIK3CD;ZMIZ1;ATRX;SPOP;CDKN1B;NFKB1;DAB2;CITED2;SIPA1L1;BMPR1A;WDR37;PDLIM5;NEK7;DUSP1;AGGF1;ATP2B4;SCAF8;MAP2K5;YTHDC1;SMAD3;INSIG1;TOGARAM1,wald_stat,MSigDB_Hallmark_2020
Myc Targets V1,1.6874143149732683,0.047519329896907214,0.001,KPNB1;G3BP1;NAP1L1;PSMD1;XPO1;SRSF1;EIF4G2;SYNCRIP;MYC;DDX18;XRCC6;DUT;HNRNPA2B1;PHB2;COPS5;EEF1B2;TCP1;PTGES3;DEK;SRPK1;CBX3;PABPC4;SSB;PABPC1;GLO1;CCT3;RRM1;IMPDH2;BUB3;HNRNPA3;NOLC1;NPM1;FBL;UBA2;HDDC2;RACK1;TFDP1;RFC4;CCT2;TOMM70;PRDX4;HNRNPA1;MRPL23;EIF2S1;PSMB2;UBE2E1;EIF2S2;PRPS2;DHX15;CNBP;ABCE1;CANX;CLNS1A;GNL3;RAN;DDX21,wald_stat,MSigDB_Hallmark_2020
Inflammatory Response,1.633804586161452,0.04778780068728523,0.001,AHR;GPR183;ATP2B1;PSEN1;IFNAR1;PLAUR;MYC;PTGER2;EMP3;KLF6;KCNA3;SELENOS;PTPRE;IL10RA;SLC11A2;NFKB1;HIF1A;TNFRSF1B;RASGRP1;NFKBIA;IRAK2;PDE4B;CD69,wald_stat,MSigDB_Hallmark_2020
TNF-alpha Signaling via NF-kB,1.6177062163536113,0.04067332474226804,0.001,CD83;TNIP1;SQSTM1;GPR183;ATP2B1;CD44;PPP1R15A;CEBPB;TSC22D1;PLAUR;PHLDA1;NINJ1;NR4A1;JUN;MYC;KLF6;TNF;EHD1;TNFAIP8;SLC2A3;NFKB2;JUNB;PTPRE;KDM6B;B4GALT5;NFKB1;TRAF1;PLEK;ZBTB10;PDLIM5;NFKBIA;FOSB;STAT5A;PDE4B;MCL1;TAP1;CD69;DUSP1;KLF10;ATF3;G0S2;SPHK1;PLK2;DNAJB4;ICAM1;SMAD3;MXD1;EGR2;FOS;IFIH1;BTG2;CCNL1;EGR1;TGIF1;PNRC1;KLF9,wald_stat,MSigDB_Hallmark_2020
IL-2/STAT5 Signaling,1.5228278733398517,0.08344072164948453,0.006276150627615063,AHR;GSTO1;CD83;SLC39A8;CAPG;GPX4;ITGAV;PLIN2;CD44;CTSZ;PHLDA1;NFKBIZ;ARL4A;MYC;PTGER2;KLF6;PLEC;SLC2A3;IL10RA;RABGAP1L;ITGA6;TRAF1;TNFRSF1B;PHTF2;GBP4,wald_stat,MSigDB_Hallmark_2020
Apoptosis,1.516470868062561,0.07275558419243987,0.0066518847006651885,PEA15;GPX4;SQSTM1;CD44;DPYD;SPTAN1;ISG20;PSEN1;BID;BNIP3L;JUN;SOD1;CASP1;LMNA;TNF;HSPB1;DAP3;CDKN1B;ANXA1;DNAJC3;ROCK1;CTNNB1;FDXR;MCL1;CDC25B;TAP1;CD69;DNAJA1;RARA,wald_stat,MSigDB_Hallmark_2020
Glycolysis,1.4764260428977372,0.08330265095729013,0.014989293361884369,PKM;HDLBP;ALDH9A1;CD44;KIF2A;ISG20;UGP2;PGAM1;SOD1;HSPA5;SLC16A3;ANKZF1;SLC25A13;ME2;FAM162A;COPB2;HS2ST1;CITED2;AK3;FUT8;CHPF;MDH1;AGL;TXN;FKBP4;NASP;RPE;P4HA1;AKR1A1;GMPPB;PFKP;BPNT1;CYB5A,wald_stat,MSigDB_Hallmark_2020
Hypoxia,1.4598953092694564,0.08497100515463918,0.024229074889867842,SLC6A6;ANXA2;HDLBP;PLIN2;ISG20;UGP2;PPP1R15A;PLAUR;BNIP3L;JUN;KLHL24;KLF6;HSPA5;ANKZF1;SLC2A3;FAM162A;PGM1;CDKN1B;HK1;CCNG2;CITED2,wald_stat,MSigDB_Hallmark_2020
mTORC1 Signaling,1.4484344261882531,0.08179410080183278,0.008948545861297539,SLC6A6;UCHL5;HSPA4;SQSTM1;TXNRD1;LTA4H;PPP1R15A;SERP1;EDEM1;ADD3;ACTR3;HSPA5;COPS5;HSP90B1;IMMT;SYTL2;UBE2D3;SLC2A3;USO1;RDH11;PGM1;GTF2H1;RPN1;PRDX1;MTHFD2;ACTR2;ELOVL6;HMGCS1;DHFR;ABCF2;FDXR;CYB5B;EIF2S2;CANX;PSMG1;CCT6A;SSR1;ATP6V1D;SKAP2;ELOVL5;ADIPOR2;PPA1;PSMC6;PITPNB;P4HA1;PSMB5;TCEA1;HSPD1;STIP1;INSIG1;RPA1,wald_stat,MSigDB_Hallmark_2020
Coagulation,1.4038585519215732,0.10840850515463918,0.050997782705099776,USP11;ARF4;DUSP6;LTA4H;ISCU;ANXA1;PLEK;PECAM1,wald_stat,MSigDB_Hallmark_2020
